No.	PN Title	Content	Sector	Customer	Focus	Services	Technology	Application	Tools	Published	Presentation	Author	Name	Project	Modified By	Modified	Item Type	Path
631	Audit einer IT-Infrastruktur und Organisation	In einem externen Audit untersucht Zühlke die IT und die Organisationsstruktur in Bezug auf Zukunftssicherheit, Betriebssicherheit, Ausfallssicherheit und strategische Ausrichtung sowie auf organisatorische Versäumnisse.	Banking & Financial Services	HYPO Capital Management AG	Software Solutions	"_ Technology Consulting;#__ Technology Consultation;#__ Technology Expertise;#_ Methodology;#__ ZAAF"				15.07.2011		"may;tkr"	pn_631_d_audit_it-infrastruktur_web.pdf	13174	Martin, Elisabeth	15.07.2011 12:11	Item	services/bd/pn/Project Notes published
630	Mehr Produktivität mit Speed Creation	Ein Projekt von Swisscom IT Services steht unter Zeitdruck. Nach einem Speed Creation Workshop mit Zühlke sind die Voraussetzungen für die Umsetzung erarbeitet und ein starkes Team mit großem Engagement geformt.	Telecommunications	Swisscom	Management Consulting	"Consulting;#_ Management Consulting;#__ Business Process Management;#__ Change Management"				15.07.2011		krs	pn_630_d_speed-creation-projektgruppe_web.pdf		Martin, Elisabeth	15.07.2011 12:33	Item	services/bd/pn/Project Notes published
629	Neues Serviceportal sorgt für zufriedene Geschäftskunden	Swisscom erweitert die Lösung für Privatkunden mit einem Kundencenter für Geschäftskunden. Zühlke erhält den Auftrag, den dazu nötigen Umbau im gesteckten Zeitrahmen umzusetzen und optimiert die Softwarequalität.	Telecommunications	Swisscom	Software Solutions	"Development;#_ Software solutions;#__ Development support"	Java EE	Information Systems	"Eclipse;#Java Enterprise Edition;#Oracle;#SOAP;#XSL"	15.08.2011			pn_629_d_portal_geschaeftskunden_web.pdf		Martin, Elisabeth	15.08.2011 15:41	Item	services/bd/pn/Project Notes published
628	Einweg-Lebensmittelverpackung integriert mehrere Funktionen	"Von der Idee in die Serie - Zühlke entwickelt für BRITA in kurzer Zeit eine funktionale Sirup-Verpackung für die neue Produktlinie""yource"". Die Kapseln dosieren den Inhalt und unterliegen inzwischen einem Patentschutz."	Devices & Apparatus	Brita	Product Innovation	"Development;#_ Product innovation;#__ Simulation & Calculation"	Plastics Technology		"SolidWorks;#Flow Simulation (Solid Works)"	19.08.2011		csc	pn_628_d_kapsel_wasserspender_web.pdf	C12541	Martin, Elisabeth	11.08.2011 13:50	Item	services/bd/pn/Project Notes published
625	Entwickelt für den Weltmarkt: yource-Maschine	"Von der Idee bis zur Serienproduktion - das Entwicklungs-Know-how von Zühlke ermöglicht es BRITA, die neue Produktlinie ""yource"" wie geplant im Markt einzuführen. Zühlke übernimmt die Gesamtentwicklung. "	Devices & Apparatus	Brita	Product Innovation	"Consulting;#_ Methodology;#__ Innovation technology;#__ Usability;#__ Requirements Engineering;#Development;#_ Product innovation;#__ Product development"			"ANSYS;#FRED;#LabVIEW;#SolidWorks;#IAR Embedded Workbench; Altium; Mathcad"	11.08.2011		"csc;jbi"	pn_625_d_wasserspender_web.pdf	C12303	Martin, Elisabeth	11.08.2011 13:50	Item	services/bd/pn/Project Notes published
624	Neue Rezepte für innovative Produkte	Betty Bossi erweitert ihr Angebot ständig. Der neue, maßgeschneiderte Innovationsprozess unterstützt die effiziente Realisierung von Produktinnovationen sowie die Optimierung von Handels­waren.	Trade & Wholesale Trade	Betty Bossi	Management Consulting	"Consulting;#_ Management Consulting;#__ Business Opportunities;#__ Business Process Management;#_ Methodology;#__ Innovation technology;#__ Product Development Process;#_ Team Training"				15.06.2011		mud	pn_624_d_rezepte_innovationen_web.pdf	C13169	Martin, Elisabeth	15.06.2011 10:32	Item	services/bd/pn/Project Notes published
621	Sicherer Web-Auftritt dank regelmäßiger Sicherheitstests	Ein weltweit führendes Logistikunternehmen erarbeitet mit Zühlke einen sicherheitstechnischen Vorsprung vor Bedrohungen aus dem Internet. Mit regelmäßigen Überprüfungen wird dieser Vorsprung gehalten und ausgebaut.	Transportation & Logistics	neutral	Software Solutions	"Consulting;#_ Technology Consulting;#__ Security;#__ Technology Consultation"	Web Services	Information Systems	"HTML;#IIS;#Java Script;#Linux;#Windows"	07.06.2011		ekw	pn_621_d_website-sicherheit_web.pdf	11352	Martin, Elisabeth	11.07.2011 11:43	Item	services/bd/pn/Project Notes published
620	Web-Applikation mit eingebauter Sicherheit	Zühlke begleitet die Entwicklung einer Web-Applikation mit einem Programmierworkshop und einer Sicherheitsüberprüfung. So erreicht der Hersteller eine hohe Angriffsresistenz des fertigen Produktes.	SW Products & Services	Haufe-Lexware	Software Solutions	"Consulting;#_ Technology Consulting;#__ Security;#_ Methodology;#__ Software-Testing;#__ Quality assurance"	"Java EE;#Web Services"	Information Systems	"HTML;#Java Enterprise Edition;#Java Script;#Linux;#Perl;#Struts;#Windows"	06.06.2011		ekw	pn_620_d_webapplikation_sicherheit_web.pdf	12579	Martin, Elisabeth	11.07.2011 11:43	Item	services/bd/pn/Project Notes published
619	Bereit für die Zukunft mit neuem Betriebssystem	Ein Telekom-Controller soll auch in Zukunft alle Anforderungen erfüllen. Zühlke berät und begleitet das Entwick­lerteam und meistert mit ihm die Herausforderungen, die der Betriebssystem­wechsel auf Embedded Linux bringt.	Devices & Apparatus	Delta Energy Systems	Software Solutions	"Development;#_ Software solutions;#__ Development support"	Real-Time and Embedded Software	Embedded Systems	"C++;#Linux;#Eclipse CDT; Jenkins; Boost; cppunit"	15.06.2011		mmo	pn_619_d_embedded-portierung_controller_web.pdf	c13918	Martin, Elisabeth	21.06.2011 15:25	Item	services/bd/pn/Project Notes published
616	Die Scannung mit der Maus	Ein Start-up revolutioniert die Bilderfas­sung und erfindet das Scan-Erlebnis. Um einen Lizenznehmer zu finden, wird neben der Softwarelösung auch eine Maus benötigt, die intuitiv scannen kann. Ein Fall für Zühlke.	Devices & Apparatus	Dacuda	Product Innovation	"Development;#__ Building Prototypes;#__ Simulation & Calculation"	"Plastics Technology;#Optics"		"FRED;#SolidWorks"	20.06.2011		lus	pn_616_d_scanmaus_web.pdf	c12150	Martin, Elisabeth	04.07.2011 11:33	Item	services/bd/pn/Project Notes published
615	Mit Scrum erfolgreich zu neuen Produkten	Ein weltweit führendes Unternehmen für Geräte und Software in der chemischen Analytik modernisiert seinen Entwicklungsprozess mit Scrum. Die agile Methode verhilft Metrohm zu einem ganzheit­lichen Wertschöpfungsprozess.	Medical & Laboratory Devices	Metrohm	Software Solutions	"Consulting;#_ Methodology;#__ Software Development Process;#_ Team Training"				28.02.2011		rjo	pn_615_d_scrum-entwicklungsprozess_web.pdf		Martin, Elisabeth	03.03.2011 17:23	Item	services/bd/pn/Project Notes published
614	Sicherheit für neue biometrische Datenplattform	Mit der Systemplattform eDokumente erhalten Schweizer Behörden eine Lösung für biometrische Daten. Zühlke unterstützt das EJPD beim Entwicklungsprozess von der Ausschreibung über Tests bis zur Abnahme und Installation.	Public Sector	EJPD	"Software Solutions;#Product Innovation"	"Consulting;#_ Methodology;#__ Requirements Engineering;#__ Software-Testing;#__ Testing;#__ Quality assurance"	"Java EE;#Web Services"	Information Systems	"Eclipse;#Java Enterprise Edition;#Java Standard Edition;#Maven;#MS Excel;#Struts;#Windows;#XML"	28.02.2011		stu	pn_614_d_dokument-plattform_web.pdf	C11918	Martin, Elisabeth	28.02.2011 10:53	Item	services/bd/pn/Project Notes published
613	Optimierte Prozesse und neue Software bringen mehr Effizienz	Gemeinsam mit der Basler Versicherung realisiert Zühlke zwei neue Software-Applikationen. Mit vereinfachten und automatisierten Business-Prozessen steigt die Effizienz im Tagesgeschäft der Versicherung.	Insurance	Basler Versicherungen	Software Solutions	"Development;#_ Software solutions;#__ Development support"	Agile Methods	Information Systems	"BEAWebLogic;#Eclipse;#Hibernate;#Java Enterprise Edition;#Java Standard Edition;#JDBC;#Maven;#DB2; MagicDraw; AndroMDA; JUnit; DBUnit"	17.03.2011		"leu; mmu"	pn_613_d_prozessoptimierung_versicherung_web.pdf	C12837	Martin, Elisabeth	17.03.2011 12:02	Item	services/bd/pn/Project Notes published
612	Haarsträubende Ideen	Neues zu einem bekannten Thema: Haar­entfernung. Zühlke generiert mit Braun innovative Ideen für eine neue Epiliertechnik und einen alternativen speziellen Antrieb. Labormuster und Tests zeigen die Machbarkeit. 	Devices & Apparatus	Braun	Product Innovation	"Consulting;#_ Methodology;#__ Innovation technology"				16.05.2011		wgm	pn_612_d_ideenfindung_epilierer_web.pdf	C12982	Martin, Elisabeth	26.05.2011 13:11	Item	services/bd/pn/Project Notes published
611	Software bringt Schwung in neue Versicherungsmodelle	In Zusammenarbeit mit BBT Software AG entwickelt Zühlke eine attraktive Software zur Verwaltung von Hausarztsyste­men. Die Lösung optimiert das Angebot des Verbandes RVK und trägt zur Kosten­senkung bei.	Insurance	BBT/RVK	Software Solutions	"Consulting;#_ Methodology;#__ Requirements Engineering;#Development;#_ Software solutions;#__ Bespoke Solutions;#__ Development support"	Web Services	"Information Systems;#Migration"	"IIS;#MS .NET Framework;#MS Excel;#MS SQL;#Patterns;#RUP;#UML;#Windows;#XML;#vb.net; Syncfusion"	01.03.2011		jbu	pn_611_d_krankenversicherer_software_web.pdf	C11200	Martin, Elisabeth	01.03.2011 14:26	Item	services/bd/pn/Project Notes published
610	Innovative Regelungstechnik senkt Energieverbrauch	Ein neuartiger Schaftantrieb für Bandwebmaschinen der Jakob Müller AG soll die Flexibilität erhöhen, Kosten reduzieren und Energie sparen. Zühlke hilft, das System regelungstechnisch zu optimieren.	Machinery & Plants	Jakob Müller	Product Innovation	"Development;#_ Product innovation;#__ Product development"	Model-Based Design	Machine Control Systems	"Matlab;#Simulink"	16.05.2011		daz	pn_610_d_regelung_energieverbrauch_web.pdf	c11654	Martin, Elisabeth	26.05.2011 10:17	Item	services/bd/pn/Project Notes published
609	Vereinfachung bringt schnellen Projekterfolg	Um Referenzdaten von Strukturierten Produkten automatisiert zu verarbeiten, bindet SIX Telekurs den Service CONNEXOR® Terms der SIX Group an. Zühlke leitet das Projekt und überzeugt mit klarem Business-Alignement.	Banking & Financial Services	SIX	Management Consulting	"__ Business Process Management;#__ IT Strategy & Enterprise Architecture;#__ Business Modelling;#__ Requirements Engineering;#_ IT Strategy & Enterprise Architecture;#_ Business Process Management;#_ Project management"		Information Systems	"UML;#Artisan, Select"	30.05.2011		hab	pn_609_d_finanzdienstleistungen_web.pdf		Brunschweiler, Upendo	30.05.2011 15:53	Item	services/bd/pn/Project Notes published
608	Datenplattform stabilisiert - Kundenerwartungen erfüllt	Eine sicherheitskritische B2B-Datenaustauschplattform entspricht nicht mehr der geforderten Qualität. Zühlke analysiert die System- und Businessprozess­ebene der Plattform und leitet notwendige Stabilisierungsmaßnahmen ein.	Transportation & Logistics	Post	Management Consulting	"Consulting;#_ Management Consulting;#__ Business Process Management;#_ Methodology;#__ Business Modelling;#__ Requirements Engineering;#__ Design Methods"		Information Systems	Modellierung: Artisan, Select	12.05.2011		tss	pn_608_d_stabilisierung_datenaustausch_web.pdf		Martin, Elisabeth	11.07.2011 08:45	Item	services/bd/pn/Project Notes published
